bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Werkenbij,Medewerker Backoffice,Amsterdam,2026-09-16,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-backoffice-at-working%40-4467947164,https://nl.linkedin.com/showcase/werkenbijvu/,4467947164
WestCord Hotels,Housekeeping Medewerker,Rotterdam,2025-09-09,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/housekeeping-medewerker-at-westcord-hotels-4295890789,https://nl.linkedin.com/company/westcord-hotels,4295890789
WestCord Hotels,Medewerker Algemene Schoonmaak,Rotterdam,2026-04-01,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-algemene-schoonmaak-at-westcord-hotels-4396644514,https://nl.linkedin.com/company/westcord-hotels,4396644514
WestCord Hotels,Medewerker Bediening,Amsterdam,2026-05-22,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-at-westcord-hotels-4414300967,https://nl.linkedin.com/company/westcord-hotels,4414300967
WestCord Hotels,Hotel Operations Medewerker,Amsterdam,2026-08-13,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/hotel-operations-medewerker-at-westcord-hotels-4450828040,https://nl.linkedin.com/company/westcord-hotels,4450828040
WestCord Hotels,Medewerker Bediening Fulltime,Amsterdam,2026-08-31,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-westcord-hotels-4459204346,https://nl.linkedin.com/company/westcord-hotels,4459204346
WestCord Hotels,Medewerker Bediening Fulltime,Groningen,2026-09-14,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-westcord-hotels-4464799747,https://nl.linkedin.com/company/westcord-hotels,4464799747
WestCord Strandhotel Seeduyn,Medewerker Algemene Schoonmaak,Rotterdam,2026-05-01,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-algemene-schoonmaak-at-westcord-strandhotel-seeduyn-4415283850,https://www.linkedin.com/company/westcord-strandhotel-resort-seeduyn,4415283850
Whiskybase,Content Producer,Rotterdam,2026-09-17,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/content-producer-at-whiskybase-4467206587,https://nl.linkedin.com/company/whiskybase,4467206587
Whitevision,"Service Medewerker, €3.000 - €3.500 | Rotterdam/Zoetermeer",Rotterdam,2026-08-06,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/service-medewerker-%E2%82%AC3-000-%E2%82%AC3-500-rotterdam-zoetermeer-at-whitevision-4448820634,https://nl.linkedin.com/company/whitevision-b-v-,4448820634
Wolf Steel Ltd,Technical Support Associate,Tiel,2026-06-11,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/technical-support-associate-at-wolf-steel-ltd-4424830485,https://ca.linkedin.com/company/wolf-steel-ltd,4424830485
Wolters Kluwer,Customer Success Specialist (Dutch speaking),Hoevelaken,2026-09-11,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-dutch-speaking-at-wolters-kluwer-4426643798,https://nl.linkedin.com/company/wolters-kluwer,4426643798
Womanly Jobs,Customer Support Specialist,Delft,2026-09-21,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-womanly-jobs-4468712438,https://nl.linkedin.com/company/womanlyjobs,4468712438
Womanly Jobs,Customer Support Specialist,Zwolle,2026-09-21,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-womanly-jobs-4468494736,https://nl.linkedin.com/company/womanlyjobs,4468494736
Workiva,Customer Success Manager - German Speaking,Amsterdam,2026-09-14,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-german-speaking-at-workiva-4465763814,https://www.linkedin.com/company/workiva,4465763814
WorkplaceBuddy,Customer Success Manager (Dutch speaking),Amsterdam,2026-09-21,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-dutch-speaking-at-workplacebuddy-4469867784,https://nl.linkedin.com/company/workplacebuddy,4469867784
Workspace 365,Senior Customer Succes Manager,Nijkerk,2026-07-28,customer happiness,nee,https://nl.linkedin.com/jobs/view/senior-customer-succes-manager-at-workspace-365-4445701606,https://nl.linkedin.com/company/workspace-365,4445701606
