bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
De Haan IT,dehaanit.com,geraden en bevestigd,Servicedeskmedewerker / Klantenservice medewerker ICT / Application Service Engineer,2026-09-14,Almere,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-klantenservice-medewerker-ict-application-service-engineer-at-de-haan-it-4467062948,webcare medewerker
De Heer Medicom,deheermedicom.nl,geraden en bevestigd,Helpdeskmedewerker,2026-09-10,"Limburg, Nederland",1,nee,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-at-de-heer-medicom-4464505220,webcare medewerker
DeJong Cheese - Alphenaer,dejongcheese.nl,geraden en bevestigd,E-commerce Medewerker (24 uur),2026-07-28,Alphen,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-medewerker-24-uur-at-dejong-cheese-alphenaer-4446156538,webcare medewerker
Deloox,deloox.nl,geraden en bevestigd,Customer Care Medewerker,2026-06-04,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-care-medewerker-at-deloox-4420161438,klantenservice medewerker
Den Ouden,ww16.denouden.com,geraden en bevestigd,Medewerker Customer Service,2026-09-07,Schijndel,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-den-ouden-groep-4464314677,klantenservice medewerker
Dentalair,dentalair.nl,geraden en bevestigd,MEDEWERKER WEBSHOP &amp; SUPPORT,2026-09-04,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-webshop-support-at-dentalair-4461970298,webcare medewerker
DentalZorg Tandheelkunde,dentalzorg.nl,geraden en bevestigd,Medewerker Online Marketing,2025-12-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-online-marketing-at-dentalzorg-tandheelkunde-4324997576,webcare medewerker
Deployteq,deployteq.com,geraden en bevestigd,ICT-servicedeskmedewerker,2026-09-01,Ter Heijde,1,nee,https://nl.linkedin.com/jobs/view/ict-servicedeskmedewerker-at-deployteq-4449849329,webcare medewerker
Deponti,deponti.com,geraden en bevestigd,Customer Service Medewerker – 32-40 uur | Oss,2026-07-03,Oss,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-%E2%80%93-32-40-uur-oss-at-deponti-4433144047,klantenservice medewerker
DETEC Beveiliging,detec.nl,geraden en bevestigd,Klantenservice medewerker,2025-12-12,Purmerend,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-detec-beveiliging-4330525254,klantenservice medewerker
DeWarmte,dewarmte.nl,geraden en bevestigd,Customer Experience Manager,2026-09-09,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-dewarmte-4465075329,customer happiness
Digital Newsgroup (DNG),digitalnewsgroup.com,geraden en bevestigd,Linkbuildingspecialist,2026-08-26,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/linkbuildingspecialist-at-digital-newsgroup-bv-4459177785,webcare medewerker
DNA Services B.V.,dnaservices.nl,geraden en bevestigd,ServiceDesk medewerker,2026-08-21,Hendrik-Ido-Ambacht,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-dna-services-b-v-4456744810,webcare medewerker
DroneShield,droneshield.com,geraden en bevestigd,Customer Success Manager - EMEA,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-emea-at-droneshield-4465784581,customer happiness
Dynamic People B.V. | Amsterdam | The Netherlands,dynamicpeople.nl,geraden en bevestigd,Customer Success Manager,2026-09-14,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-dynamic-people-4463877500,customer happiness
