bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Belgie Vacature,Customer Service Medewerker,"Wielsbeke, Vlaanderen, België",2026-09-08,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464907131,https://nl.linkedin.com/company/belgievacature-be,4464907131
Belgie Vacature,Customer Care Employee - German | Nederlands | Nederlands-Frans,"Elsene, Brussels Hoofdstedelijk Gewest, België",2026-09-09,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-employee-german-nederlands-nederlands-frans-at-belgie-vacature-4465338539,https://nl.linkedin.com/company/belgievacature-be,4465338539
Belgie Vacature,Customer Service Medewerker | 2700-3000 Bruto | Regio Rieme,"Rieme, Vlaanderen, België",2026-09-09,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-2700-3000-bruto-regio-rieme-at-belgie-vacature-4465335523,https://nl.linkedin.com/company/belgievacature-be,4465335523
Belgie Vacature,Customer Service Medewerker NL/FR - planning technische interven,"Zaventem, Vlaanderen, België",2026-09-09,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-nl-fr-planning-technische-interven-at-belgie-vacature-4465348426,https://nl.linkedin.com/company/belgievacature-be,4465348426
Belgie Vacature,Customer Service Specialist,"Brussel, Brussels Hoofdstedelijk Gewest, België",2026-09-09,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-belgie-vacature-4465338540,https://nl.linkedin.com/company/belgievacature-be,4465338540
Belgie Vacature,Customer Service medewerker Duits en Engels,"Lummen, Vlaanderen, België",2026-09-10,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-duits-en-engels-at-belgie-vacature-4465875316,https://nl.linkedin.com/company/belgievacature-be,4465875316
Belgie Vacature,Customer Care Consultant voor KBC,"Berchem, Vlaanderen, België",2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-consultant-voor-kbc-at-belgie-vacature-4466394311,https://nl.linkedin.com/company/belgievacature-be,4466394311
Belgie Vacature,Customer Service Medewerker | vast contract | Mechelen,"Antwerpen, Vlaanderen, België",2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-vast-contract-mechelen-at-belgie-vacature-4466401272,https://nl.linkedin.com/company/belgievacature-be,4466401272
Belgie Vacature,Customer Care Consultant voor KBC,"Vilvoorde, Vlaanderen, België",2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-consultant-voor-kbc-at-belgie-vacature-4466404224,https://nl.linkedin.com/company/belgievacature-be,4466404224
Belgie Vacature,Customer Care Consultant voor KBC,"Zwijndrecht, Vlaanderen, België",2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-consultant-voor-kbc-at-belgie-vacature-4466397293,https://nl.linkedin.com/company/belgievacature-be,4466397293
Belgie Vacature,Customer Care Consultant voor KBC,"Lier, Vlaanderen, België",2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-consultant-voor-kbc-at-belgie-vacature-4466405227,https://nl.linkedin.com/company/belgievacature-be,4466405227
Belgie Vacature,Customer Care Consultant voor KBC,"Temse, Vlaanderen, België",2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-consultant-voor-kbc-at-belgie-vacature-4466398284,https://nl.linkedin.com/company/belgievacature-be,4466398284
Belgie Vacature,Customer Care Consultant voor KBC,"Mechelen, Vlaanderen, België",2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-consultant-voor-kbc-at-belgie-vacature-4466401269,https://nl.linkedin.com/company/belgievacature-be,4466401269
Belgie Vacature,Customer Service Medewerker,"Brussel-Louisa, Brussels Hoofdstedelijk Gewest, België",2026-09-12,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4466749012,https://nl.linkedin.com/company/belgievacature-be,4466749012
Belgie Vacature,Customer Service Medewerker | NL-FR-EN | Regio Temse,"Temse, Vlaanderen, België",2026-09-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-nl-fr-en-regio-temse-at-belgie-vacature-4467283726,https://nl.linkedin.com/company/belgievacature-be,4467283726
Belgie Vacature,Customer Service Medewerker | Bedrijfswagen | Mechelen,"Antwerpen, Vlaanderen, België",2026-09-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-bedrijfswagen-mechelen-at-belgie-vacature-4467281739,https://nl.linkedin.com/company/belgievacature-be,4467281739
Belgie Vacature,Klantenservice Medewerker Franstalig,"Berchem, Vlaanderen, België",2026-09-15,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantenservice-medewerker-franstalig-at-belgie-vacature-4467901162,https://nl.linkedin.com/company/belgievacature-be,4467901162
Belgie Vacature,Customer Service Medewerker,"Westvleteren, Vlaanderen, België",2026-09-15,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4467909143,https://nl.linkedin.com/company/belgievacature-be,4467909143
Belgie Vacature,Klantenservice Medewerker,"Berchem, Vlaanderen, België",2026-09-15,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantenservice-medewerker-at-belgie-vacature-4467900165,https://nl.linkedin.com/company/belgievacature-be,4467900165
Belgie Vacature,Klantendienstmedewerker ING - Telewerk mogelijk,"Mechelen, Vlaanderen, België",2026-09-15,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantendienstmedewerker-ing-telewerk-mogelijk-at-belgie-vacature-4467907151,https://nl.linkedin.com/company/belgievacature-be,4467907151
Belgie Vacature,Klantenadviseur NL-FR,"Mechelen, Vlaanderen, België",2026-09-16,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantenadviseur-nl-fr-at-belgie-vacature-4468290846,https://nl.linkedin.com/company/belgievacature-be,4468290846
Belgie Vacature,Customer Service medewerker backoffice,"Beveren-Waas, Vlaanderen, België",2026-09-16,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-backoffice-at-belgie-vacature-4468301754,https://nl.linkedin.com/company/belgievacature-be,4468301754
Belgie Vacature,Customer Service Medewerker - kennis van Frans en Engels,"Aarschot, Vlaanderen, België",2026-09-17,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-kennis-van-frans-en-engels-at-belgie-vacature-4468829280,https://nl.linkedin.com/company/belgievacature-be,4468829280
Belgie Vacature,Customer Service Medewerker met ambitie,"Meer, Vlaanderen, België",2026-09-17,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-met-ambitie-at-belgie-vacature-4468831300,https://nl.linkedin.com/company/belgievacature-be,4468831300
Belgie Vacature,Key Account Advisor Customer Service | MET THUISWERK | €3278 Brut,"Diegem, Vlaanderen, België",2026-09-18,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/key-account-advisor-customer-service-met-thuiswerk-%E2%82%AC3278-brut-at-belgie-vacature-4469240601,https://nl.linkedin.com/company/belgievacature-be,4469240601
Belgie Vacature,Customer Service Medewerker,"Deerlijk, Vlaanderen, België",2026-09-19,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4469555918,https://nl.linkedin.com/company/belgievacature-be,4469555918
Belgie Vacature,Customer Service Support met ervaring | Aarschot,"Aarschot, Vlaanderen, België",2026-09-21,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-support-met-ervaring-aarschot-at-belgie-vacature-4469993095,https://nl.linkedin.com/company/belgievacature-be,4469993095
Berner Belgien NV/SA,Employé Service Clientèle,"Lanaken, Vlaanderen, België",2026-08-25,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/employ%C3%A9-service-client%C3%A8le-at-berner-belgien-nv-sa-4435547594,https://be.linkedin.com/company/berner-belgien,4435547594
Bingoal,Customer Service Agent NL,"Brussels Hoofdstedelijk Gewest, België",2026-09-02,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-agent-nl-at-bingoal-4462123190,https://be.linkedin.com/company/bingoal,4462123190
BMW &amp; MINI Jobs,Sneyers - Klantenadviseur Telefonisch Onthaal,"Kasterlee, Vlaanderen, België",2026-08-19,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/sneyers-klantenadviseur-telefonisch-onthaal-at-bmw-mini-jobs-4456334528,https://be.linkedin.com/company/bmw-mini-jobs,4456334528
BMW &amp; MINI Jobs,Klantenadviseur Telefonisch Onthaal,"Kasterlee, Vlaanderen, België",2026-09-03,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantenadviseur-telefonisch-onthaal-at-bmw-mini-jobs-4460715804,https://be.linkedin.com/company/bmw-mini-jobs,4460715804
BodyConstruct,Customer Service Medewerker,"Antwerpen, Vlaanderen, België",2026-09-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-bodyconstruct-4465715532,https://be.linkedin.com/company/body-construct,4465715532
Brewery St.Bernardus,Customer Service Officer - Voltijds,"Watou, Vlaanderen, België",2026-08-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-officer-voltijds-at-brewery-st-bernardus-4450375009,https://be.linkedin.com/company/brouwerij-st-bernardus,4450375009
Bright Plus,Customer Service Medewerker (3 dagen home office),"Temse, Vlaanderen, België",2026-09-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-3-dagen-home-office-at-bright-plus-4465712711,https://be.linkedin.com/company/bright-plus,4465712711
Brunswick Corporation,Customer Service Representative,"Petit-Rechain, Wallonië, België",2026-09-04,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-brunswick-corporation-4461155085,https://www.linkedin.com/company/brunswick-corporation,4461155085
BRUSSELS TRUCK CENTER,Customer service advisor IVECO,"Dilbeek, Vlaanderen, België",2026-09-21,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-iveco-at-brussels-truck-center-4469935328,https://be.linkedin.com/company/brussels-truck-center,4469935328
BSH Home Appliances Group - Belgium - FR,"Contact Center Agent, Careline - bilingue FR/NL- FR","Brussel, Brussels Hoofdstedelijk Gewest, België",2026-09-17,klantenservice medewerker,nee,,,4459359822
BSH Home Appliances Group - Belgium - NL,"Contact Center Agent, Careline - tweetalig NL/FR","Brussel, Brussels Hoofdstedelijk Gewest, België",2026-09-17,klantenservice medewerker,nee,,,4459315938
Coffee Service Group,Customer Service Medewerker,"Knokke-Heist, Vlaanderen, België",2026-08-05,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-coffee-service-group-4449924200,https://be.linkedin.com/company/csgbelgie,4449924200
Compagnie des Alpes,Customer Advisor NL &amp; EN - H/F,"Aartselaar, Vlaanderen, België",2026-09-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-advisor-nl-en-h-f-at-compagnie-des-alpes-4467200260,https://fr.linkedin.com/company/compagnie-des-alpes,4467200260
Conway - The Convenience Company België N.V.,Klantenservicemedewerker,"Temse, Vlaanderen, België",2026-09-10,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-conway-the-convenience-company-belgi%C3%AB-n-v-4463484809,https://be.linkedin.com/company/conwaybelgium,4463484809
Coolblue,Jobstudent Klantenservice Franstalig,"Antwerpen, Vlaanderen, België",2026-06-04,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/jobstudent-klantenservice-franstalig-at-coolblue-4423514160,https://nl.linkedin.com/company/coolblue,4423514160
Coolblue,Jobstudent Klantenservice,"Antwerpen, Vlaanderen, België",2026-06-04,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/jobstudent-klantenservice-at-coolblue-4423396862,https://nl.linkedin.com/company/coolblue,4423396862
