bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Cato Networks,Customer Success Manager,Amsterdam,2026-08-31,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-cato-networks-4440136307,https://il.linkedin.com/company/cato-networks,4440136307
CDA,Digital marketeer,Den Haag,2026-09-18,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/digital-marketeer-at-cda-4251674255,https://nl.linkedin.com/company/cda,4251674255
Cedrah,Senior medewerker ICT,Barendrecht,2026-08-04,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-ict-at-cedrah-4447372315,https://nl.linkedin.com/company/cedrah,4447372315
Cegeka,Onsite Support,"Utrecht, Nederland",2026-09-15,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/onsite-support-at-cegeka-4465913004,https://be.linkedin.com/company/cegeka,4465913004
CGI Nederland,On Site Support Specialist - Global Technology Operations,Schaijk,2026-09-05,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/on-site-support-specialist-global-technology-operations-at-cgi-nederland-4445232652,https://nl.linkedin.com/company/cgi-in-nederland,4445232652
Chane,IT Service Desk Medewerker,Rotterdam,2026-09-04,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/it-service-desk-medewerker-at-chane-4429332633,https://www.linkedin.com/company/chaneterminals,4429332633
Check Point Software,Customer Success Manager,Utrecht,2026-09-21,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-check-point-software-4442515867,https://www.linkedin.com/company/check-point-software-technologies,4442515867
ChipSoft Nederland,Growth Marketeer,Amsterdam,2026-09-15,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-chipsoft-nederland-4448895867,https://nl.linkedin.com/company/chipsoft,4448895867
CIMSOLUTIONS,Front-end Developer,Utrecht Area,2026-09-22,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-cimsolutions-4468540428,https://nl.linkedin.com/company/cimsolutions,4468540428
Cleve &amp; Zonen,Medewerker Customer Service,Rotterdam,2026-03-02,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-cleve-zonen-4378820855,https://nl.linkedin.com/company/cleve-zonen-b-v-,4378820855
