bedrijf,domein,domein_bron,functie,is_cs,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Atlassian,atlassian.com,geraden en bevestigd,"Principal Customer Success Manager, Strategic DACH",ja,2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/principal-customer-success-manager-strategic-dach-at-atlassian-4451509548,customer happiness
Atolls,atolls.com,geraden en bevestigd,Junior Editor (m/f/x) - Dutch Speaking,,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-editor-m-f-x-dutch-speaking-at-atolls-4456723608,content specialist webshop
Atos Medical,atosmedical.nl,geraden en bevestigd,Consumer Care Specialist,ja,2026-09-19,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/consumer-care-specialist-at-atos-medical-4440770846,customer happiness
Atvise | Next Level E-commerce 🔥🚀,atvise.nl,geraden en bevestigd,Magento developer,,2026-04-10,Noordwijk-Binnen,1,nee,https://nl.linkedin.com/jobs/view/magento-developer-at-atvise-next-level-e-commerce-%F0%9F%94%A5%F0%9F%9A%80-4398189730,webshop beheerder
Audax Nederland,audax.nl,geraden en bevestigd,Medewerker klantenservice,ja,2026-09-08,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-audax-netherlands-4440551063,klantenservice medewerker
Autodistribution Nederland,autodistribution.nl,geraden en bevestigd,Customer Support Medewerker,ja,2026-08-31,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-autodistribution-nederland-4450612001,klantenservice medewerker
Autoflex Automotive Software,autoflex.nl,geraden en bevestigd,Medewerker Klantenservice &amp; Support,ja,2026-09-14,Putten,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-support-at-autoflex-4467070838,klantenservice medewerker
Automatic Systems,automaticsystems.nl,geraden en bevestigd,Customer Service Representative DE/FR/EN,ja,2026-09-17,"Waver, Wallonië, België",3,nee,https://be.linkedin.com/jobs/view/customer-service-representative-de-fr-en-at-automatic-systems-4466279272,klantenservice medewerker
Avenir Collective,avenircollective.com,geraden en bevestigd,Account Manager (Bol.com),,2026-09-15,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/account-manager-bol-com-at-avenir-collective-4465599184,e-commerce medewerker
AVR,avr.nl,geraden en bevestigd,Sales Support Medewerker,ja,2026-08-17,Rozenburg,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-avr-4466064506,orderverwerking medewerker
Axians NL,axians.nl,geraden en bevestigd,Customer Care Specialist,ja,2026-09-10,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-axians-nl-4456487800,klantenservice medewerker
AxionContinu,axioncontinu.nl,geraden en bevestigd,Medewerker ICT-Servicedesk,ja,2026-08-25,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-ict-servicedesk-at-axioncontinu-4466945841,webcare medewerker
Axivate Horeca Group,axivatehoreca.nl,geraden en bevestigd,Medewerker Bediening (Nieuw concept),,2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-nieuw-concept-at-axivate-horeca-group-4469115573,webcare medewerker
Ayvens,ayvens.com:443,geraden en bevestigd,Specialist Ordering &amp; Fleetdesk I,ja,2026-07-16,Amsterdam,5,nee,https://nl.linkedin.com/jobs/view/specialist-ordering-fleetdesk-i-at-ayvens-4437693035,orderverwerking medewerker
Azerty,essendant.com,geraden en bevestigd,Logistiek medewerker allround,,2026-07-24,Raalte,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-allround-at-azerty-4444960361,logistiek medewerker webshop
B&S Media Internetmarketing,bsmedia.nl,geraden en bevestigd,» Vacature Contentspecialist in Kampen,,2025-02-18,Kampen,1,nee,https://nl.linkedin.com/jobs/view/%C2%BB-vacature-contentspecialist-in-kampen-at-b-s-media-internetmarketing-4157800318,content specialist webshop
BAIYILED EUROPE B.V.,baiyiled.nl,geraden en bevestigd,Technisch Commercieel Medewerker Binnendienst &amp; Operations.,,2026-08-21,Almere,1,nee,https://nl.linkedin.com/jobs/view/technisch-commercieel-medewerker-binnendienst-operations-at-baiyiled-europe-b-v-4457078701,orderverwerking medewerker
Baktotaal,baktotaal.nl,geraden en bevestigd,Online marketeer Duits,,2026-09-11,Goor,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-duits-at-baktotaal-4466072603,online marketeer webshop
BAM Nederland,bam.com,geraden en bevestigd,Klantadviseur,ja,2026-09-11,Bunnik,1,nee,,klantadviseur
BAS,bas.com,geraden en bevestigd,Meewerkstage E-Commerce,,2026-09-22,Veghel,2,nee,https://nl.linkedin.com/jobs/view/meewerkstage-e-commerce-at-bas-4470410953,webshop beheerder
Bauder Nederland,bauder.nl,geraden en bevestigd,Medewerker Verkoop Binnendienst / Sales Coördinator,,2026-09-22,Houten,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-binnendienst-sales-co%C3%B6rdinator-at-bauder-nederland-4470282621,orderverwerking medewerker
Bax Music,bax-shop.com,geraden en bevestigd,Marketplace-marketeer,,2026-08-28,Goes,8,nee,https://nl.linkedin.com/jobs/view/marketplace-marketeer-at-bax-music-4458091991,e-commerce medewerker
Bear Optima Wood B.V.,bearoptimawood.nl,geraden en bevestigd,Commercieel medewerker binnendienst,,2026-08-28,Nijverdal,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-bear-optima-wood-b-v-4460325998,orderverwerking medewerker
Bechtle NV,bechtle.com,geraden en bevestigd,Sales Support Medewerker,ja,2026-09-15,Nederland,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-bechtle-nv-4465538475,orderverwerking medewerker
Bedrijfsfitness Nederland,bedrijfsfitness.nl,geraden en bevestigd,Customer Support Specialist,ja,2026-09-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-bedrijfsfitness-nederland-by-epassi-4457324263,klantenservice medewerker
Beetronics BV,beetronics.nl,geraden en bevestigd,Country Manager Netherlands &amp; Belgium (E-Commerce &amp; Electronics),,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/country-manager-netherlands-belgium-e-commerce-electronics-at-beetronics-4465035070,webshop beheerder
Bejo,bejo.nl,geraden en bevestigd,Sales Support Employee,,2026-09-17,Schagen,1,nee,https://nl.linkedin.com/jobs/view/sales-support-employee-at-bejo-4466958651,orderverwerking medewerker
Beko Europe,bekoeurope.com,geraden en bevestigd,Team Lead Order Desk,,2026-09-14,Breda,1,nee,https://nl.linkedin.com/jobs/view/team-lead-order-desk-at-beko-europe-4467059037,orderverwerking
Belsimpel,belsimpel.nl,geraden en bevestigd,Commercieel Data Analist voor Gomibo.de,,2026-09-02,Groningen,1,nee,https://nl.linkedin.com/jobs/view/commercieel-data-analist-voor-gomibo-de-at-gomibo-l-belsimpel-4442750204,e-commerce medewerker
Bergman Clinics,bergmanclinics.nl,geraden en bevestigd,CSA Medewerker,,2026-09-07,Capelle aan den IJssel,1,nee,https://nl.linkedin.com/jobs/view/csa-medewerker-at-bergman-clinics-4464325862,webcare medewerker
Beter Horen,beterhoren.nl,geraden en bevestigd,Verkoopadviseur bij Beter Horen Rotterdam,,2026-09-09,Rotterdam,4,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-bij-beter-horen-rotterdam-at-beter-horen-4465019621,klantadviseur
Bever,bever.nl,geraden en bevestigd,E-commerce Specialist Germany,,2026-09-15,Pijnacker,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-germany-at-bever-4466505111,e-commerce medewerker
BFG Trading B.V.,bfgtrading.com,geraden en bevestigd,ALLROUND LOGISTIEK MEDEWERKER,,2026-05-15,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/allround-logistiek-medewerker-at-bfg-trading-4411566889,logistiek medewerker webshop
Big Bazar,bigbazar.com,geraden en bevestigd,Vulploegmedewerker in Eindhoven,,2026-08-25,Eindhoven,18,nee,https://nl.linkedin.com/jobs/view/vulploegmedewerker-in-eindhoven-at-big-bazar-4456967386,support medewerker webshop
Big Thinkers Online Marketing,bigthinkers.nl,geraden en bevestigd,Senior Online Marketing Consultant,,2026-08-05,Barendrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-online-marketing-consultant-at-big-thinkers-online-marketing-4447308616,online marketeer webshop
Billink,billink.nl,geraden en bevestigd,Customer Success Manager,ja,2026-08-18,Gouda,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-billink-4455757456,customer happiness
Biscuit International Netherlands,jeurgens.nl,geraden en bevestigd,Customer Service Medewerker,ja,2026-09-09,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-biscuit-international-netherlands-4449830753,orderverwerking medewerker
Bizzdesign,bizzdesign.com,geraden en bevestigd,Senior Customer Success Manager,ja,2026-09-09,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-customer-success-manager-at-bizzdesign-4463808925,customer happiness
Blauwe Monsters (part of Conclusion),blauwemonsters.nl,geraden en bevestigd,Online Marketeer,,2026-06-23,Haarlem,2,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-blauwe-monsters-part-of-conclusion-4432425079,online marketeer webshop
Bloom & Wild,bloomwild.com,geraden en bevestigd,Customer Delight Talent Pool,,2026-09-13,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-delight-talent-pool-at-bloom-wild-4466735976,klantenservice medewerker
Bloom & Wolf,bloomwolf.nl,geraden en bevestigd,🌸 VACATURE: House-of-Rituals medewerker bij Bloom &amp; Wolf,,2026-07-06,Randstad,1,nee,https://nl.linkedin.com/jobs/view/%F0%9F%8C%B8-vacature-house-of-rituals-medewerker-bij-bloom-wolf-at-bloom-wolf-4437410088,webshop medewerker
blooming people,bloomingpeople.nl,geraden en bevestigd,Junior Functioneel Beheerder,,2026-09-10,"Zuid-Holland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/junior-functioneel-beheerder-at-blooming-people-4463475428,webshop beheerder
bloomon,bloomon.nl,geraden en bevestigd,Customer Support Senior Associate (Dutch or German Speaking),,2026-09-15,Amsterdam Area,1,ja,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloomon-4467727735,klantenservice medewerker
Boermarke,boermarke.eu,geraden en bevestigd,Magazijnmedewerker / Orderpicker,ja,2026-04-24,Enschede,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-orderpicker-at-boermarke-b-v-4403760996,orderverwerking
BONO,bono.nl,geraden en bevestigd,Media Buyer (META) | Paid Social Specialist,,2026-08-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/media-buyer-meta-paid-social-specialist-at-bono-4461051671,online marketeer webshop
Booking Boosters,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,ja,2026-09-16,Enschede,2,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-boosters-4468318072,customer happiness
Booking Experts,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,ja,2026-09-17,Enschede,8,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467141096,customer happiness
BOSKA Food Tools,boska.com,geraden en bevestigd,Medewerker klantenservice,ja,2026-09-14,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,e-commerce medewerker
Bouwmaat,bouwmaat.nl,geraden en bevestigd,Medewerker Logistiek,,2026-07-07,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-at-bouwmaat-4436581659,logistiek medewerker webshop
Brandfirm,brandfirm.nl,geraden en bevestigd,Medior Contentspecialist,,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/medior-contentspecialist-at-brandfirm-4468165889,content specialist webshop
BrandPit,brandpit.nl,geraden en bevestigd,"*vervuld* vacature website &amp; performance marketeer. theater, amsterdam.",,2026-04-16,Loenen,1,nee,https://nl.linkedin.com/jobs/view/vervuld-vacature-website-performance-marketeer-theater-amsterdam-at-brandpit-4402677114,webshop beheerder
brandwebbing,brandwebbing.nl,geraden en bevestigd,Performance Marketeer (32-40 uur),,2026-09-09,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/performance-marketeer-32-40-uur-at-brandwebbing-4464980866,online marketeer webshop
Brandweer,brandweer.nl,geraden en bevestigd,Contentspecialist,,2026-09-20,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/contentspecialist-at-brandweer-4470251378,content specialist webshop
BridgeFund,bridgefund.nl,geraden en bevestigd,Customer Service Representative,ja,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-bridgefund-4445916609,klantenservice medewerker
Bright Plus,brightplus.com,geraden en bevestigd,Customer Service Medewerker (3 dagen home office),ja,2026-09-14,"Temse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-3-dagen-home-office-at-bright-plus-4465712711,klantenservice medewerker
Brighteq,brighteq.nl,geraden en bevestigd,Medior frontend developer,,2026-08-01,Utrecht Area,2,nee,https://nl.linkedin.com/jobs/view/medior-frontend-developer-at-brighteq-4447616074,webshop medewerker
Brightways - Marketplace Accelerators,brightways.nl,geraden en bevestigd,Marketplace Manager Amazon &amp; Bol Focused - Client Facing,,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/marketplace-manager-amazon-bol-focused-client-facing-at-brightways-marketplace-accelerators-4464543208,e-commerce medewerker
Brivo,brivo.com,geraden en bevestigd,Customer Care Receptionist,,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-care-receptionist-at-brivo-4466671816,customer service
Brocacef,brocacef.nl,geraden en bevestigd,Medewerker contact en support,ja,2026-09-14,Maarssen,3,nee,https://nl.linkedin.com/jobs/view/medewerker-contact-en-support-at-brocacef-4376576436,klantenservice medewerker
Broekhuis,broekhuis.nl,geraden en bevestigd,Online Marketeer,,2026-07-15,Putten,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-broekhuis-groep-4439267068,online marketeer webshop
Brother International (Nederland) BV,brother.nl,geraden en bevestigd,Medewerker Sales Support,ja,2026-09-10,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-sales-support-at-brother-international-nederland-bv-4465818043,orderverwerking medewerker
