vestiging,bedrijf,beslisser,functie,status,lp_gescand,actie,datum,batch,lp_url,scans,laatste_scan
,Verheij Integrale Groenzorg,Arie in 't Veld,Financieel/algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/verheij-integrale-groenzorg,,
,Hofkens HIG,Mark Hofkens,CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/hofkens-hig,,
,OAMKB,Albert Kluyver,CEO / voorzitter coöperatie,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/oamkb,,
,Omnius Advocaten,Henri Niezink,Directie/bestuurder (met Sam Kieboom),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/omnius-advocaten,,
,De Hypotheker,Sanne de Laat-Koevoets,Directievoorzitter / CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/de-hypotheker,,
,Hezelburcht,Marc Guelen,Oprichter & eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/hezelburcht,,
,A.A.S. Schadeherstel,Nicole Spenkelink,Directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/aas-schadeherstel,,
,Loxam Nederland,Marcel van der Laan,Commercieel directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/loxam-nederland,,
,BusinessCom,Pieter van Eldonk,Directeur / CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/businesscom,,
,Achterkamp,Tom Sinderdinck,Commercieel directeur & mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/achterkamp,,
,Polvo,Remco Lammen,Chief Commercial Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/polvo,,
,Plieger,Koert Huisman,Algemeen directeur / CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/plieger,,
,AES Technische Groothandel,Edwin van Bruggen,Algemeen directeur & mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/aes-technische-groothandel,,
,TGH van Triest,Bart van Triest,DGA / eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/tgh-van-triest,,
,Mechan Groep,Wim Hengeveld,Directeur Dealer Development,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/mechan-groep,,
,Aqua+ Sprinklersystemen,Bas-Jan Walhof,Directeur (vijfde generatie Walhof),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/aqua-plus,,
,VDK Groep,Frans van der Kolk,Oprichter en CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/vdk-groep,,
,Dutch Fire Safety Group,Henk Kattestaart,Algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/dutch-fire-safety-group,,
,Huschka Groep,Emill de Waal,Algemeen directeur en eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/huschka-groep,,
,Milieu Service Nederland,Dennis Ostendorf,Commercieel directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/milieu-service-nederland,,
,Refresh Reinigingen,Jorik van Run,Directeur en eigenaar (DGA),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/refresh-reinigingen,,
,Incassonet,Kevin Verkerk,Algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/incassonet,,
,Concept Arbo,Arjen Ferguson,Directeur / arbeidsdeskundige,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/concept-arbo,,
,Mijn Poortwachter,Tom Bronk,Eigenaar / jurist ziekte en re-integratie,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/mijn-poortwachter,,
,Bukom,Sjoerd Wasserval,Algemeen directeur / mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/bukom,,
,Beercoo,Vincent de Beer,Directeur-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/beercoo,,
,CMIS Franchise,Marisa Lodewijks,Algemeen directeur CMIS Franchise,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/cmis-franchise,,
,Staatvandienst,Johan Dingemanse,Commercieel directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/staatvandienst,,
,VKG (Van Kampen Groep),Tom van der Geer,Directievoorzitter,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/vkg,,
,MVGM,Mark Spiering,Directeur Property & Asset Management Nederland (per 1 jan 2026),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/mvgm,,
,Brandt Bedrijfsmakelaars,Ramon Klarenbeek,Directeur / eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/brandt-bedrijfsmakelaars,,
,CNA (Centraal Nederlands Assuradeurenbedrijf),Michael van Romondt,CEO / mede-eigenaar EVR Groep (moederorganisatie van CNA),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/cna,,
,Van Dijk Trucks,George Seitzinger,Algemeen Directeur (Van Dijk Groep),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/van-dijk-trucks,,
,Broekhuis Groep,Jaco Remijn,Algemeen Directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/broekhuis-groep,,
,Nebim Groep,Diederik Nolten,CEO / oprichter,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/nebim-groep,,
,Modul-System Nederland,Ronald Koekoek,Country Manager Nederland,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/modul-system-nederland,,
,MKB Lease,Michiel Looman,Directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/mkb-lease,,
,Wensink,Jorus Vos,CEO / CBO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/wensink,,
,Hatrans,Jan Rödel,Eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/hatrans,,
,BHV.NL,Hans de Bruyn,Directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/bhv-nl,,
,Werkfactor,Hielke Penninga,Eigenaar / directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/werkfactor,,
,Textiel Services Nederland,Rick de Koning,Eigenaar / DGA,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/textiel-services-nederland,,
,Business Fashion,John van der Velde,Eigenaar / directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/business-fashion,,
,JobTrans,Henrik de Leeuw,Eigenaar / DGA,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/jobtrans,,
,AC Opleidingen,Michel de Wette,Eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/ac-opleidingen,,
,Van Gelder,Demis van Kouwen,Operationeel directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/van-gelder,,
,Scheerder Drankengroothandel,Nico van der Zwan,Directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/scheerder-drankengroothandel,,
,Boekel AGF,Lycke van Boekel,Commercieel directeur / oprichter,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/boekel-agf,,
,Van Arkel & Zn,Roeland van Arkel,Eigenaar / directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/van-arkel-en-zn,,
,Zandbergen Vlees,René Zandbergen,Directeur / eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/zandbergen-vlees,,
,Het Vleescentrum,Marco Hartog,Directeur / mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/het-vleescentrum,,
,Eisenga Kaas,Ruud Eisenga,Directeur / mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/eisenga-kaas,,
,De Kreij Horeca,Huig de Kreij,Eigenaar / DGA,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/de-kreij-horeca,,
,Hansen Dranken,Freek Laeven,Algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/hansen-dranken,,
,Care for Coffee,Marcel Grob,Directeur-grootaandeelhouder,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/care-for-coffee,,
,Beans Coffee,Paul de Haan,Oprichter / eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/beans-coffee,,
,Groothandel Blok,Leon Blok,Mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/groothandel-blok,,
